scenarioId,scenarioLabel,finalNodeCount,replications,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate,targetAverageClustering,targetMeanEdgeLength,clusteringRelDiff,meanEdgeLengthRelDiff
ba_benchmark,BA benchmark,1000,16,75,0.3924900000000002,0.026107311082439504,0.5277321211135133,power_law,0,0.028,0.521,0.06759603277001773,0.012921537645898828
general_model,General model,1000,16,16,0.33711853125000013,0.009089075334387834,0.3568809518876958,exponential,0,0.009,0.349,0.00989725937642604,0.02258152403351241
ba_benchmark,BA benchmark,2000,8,117.5,0.39149521875000004,0.016056892383259504,0.5233428126699172,power_law,0,0.028,0.521,0.42653955774073204,0.004496761362604999
general_model,General model,2000,8,16,0.33902200000000016,0.00606465895215895,0.3572679152080156,exponential,0,0.009,0.349,0.32614900531567215,0.023690301455632147
ba_benchmark,BA benchmark,5000,4,184.25,0.39134419000000004,0.008364097860910623,0.523317525828376,power_law,0,0.028,0.521,0.701282219253192,0.004448226158111259
general_model,General model,5000,4,16,0.33794126,0.002909008769008769,0.3507386839890569,exponential,0,0.009,0.349,0.67677680344347,0.004981902547441005
