scenarioId,scenarioLabel,finalNodeCount,replications,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate,targetAverageClustering,targetMeanEdgeLength,clusteringRelDiff,meanEdgeLengthRelDiff
ba_benchmark,BA benchmark,1000,4,80.75,0.39143375000000014,0.02557747183356082,0.5288663964167872,power_law,0,0.028,0.521,0.08651886308711364,0.01509864955237469
general_model,General model,1000,4,16,0.33801400000000004,0.008403765678765678,0.35800299522337736,exponential,0,0.009,0.349,0.06624825791492461,0.02579654791798678
ba_benchmark,BA benchmark,2000,2,108.5,0.39216225000000005,0.01553327657029382,0.5162167414225052,power_law,0,0.028,0.521,0.44524012248950645,0.009180918574846146
general_model,General model,2000,2,16,0.33902200000000016,0.00606465895215895,0.3572679152080156,exponential,0,0.009,0.349,0.32614900531567215,0.023690301455632147
