group,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,meanCumulativeAccess,meanGravityAccess,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
planarity_core,planarity_free_none,Free geometry / none,0,0,7.818181818181818,25,0.28874011432150964,0.12284740572558846,0.5118050528857311,2.4300659657802512,289,29.333333333333332,9.680521201878513,0,354,0,0,0.18279569892473116,-0.010752688172043012,0,exponential
planarity_core,planarity_free_reject,Free geometry / reject,0,1,5.601010101010101,34.75,0.36227434592320085,0.7444609165080336,0.2634489750588998,2.8405483405483407,179.25,45.161616161616166,15.050427385158098,0,0,0,0,0.1774193548387097,2.6020852139652106e-18,0.021505376344086023,power_law
planarity_core,planarity_free_split,Free geometry / split,0,0,4.021347836242974,8,0.00521086410117938,0.16966947290379836,0.004635310136026593,,17915,,,554388.75,368,17626,93,0.1881720430107527,0.0456989247311828,0.021505376344086023,power_law
access_interaction,interaction_reject_none,Reject / no access,0,1,5.574999999999999,8,0.13761259196892767,0.4496536796536801,0.06532227672201789,7.281371938563719,394.25,190.37954545454545,64.50055028172125,0,0,0,0,0.19786729857819907,0.18009478672985782,0.25236966824644547,lognormal
access_interaction,interaction_split_target,Split / target access,0,1,5.680218735850833,8,0.16945157545369643,0.4683049678542945,0.04747022049220109,8.897242181027543,723.25,193.46363636363634,66.13039353987418,177.75,172.5,172.5,167.75,0.20023696682464454,0.2109004739336493,0.2677725118483413,exponential
access_interaction,interaction_split_both_seed,Split / both with seed access,0,1,5.6540855803809045,8,0.16943898543469738,0.4651953520317864,0.04741843877139259,8.878236733851956,716.75,194.22727272727272,66.32036715253811,179,171.75,171.75,166.5,0.1990521327014218,0.22867298578199052,0.2061611374407583,exponential
access_interaction,interaction_split_both_opportunity,Split / both with opportunity access,0,1,5.680361868448804,8,0.16964432088345466,0.4686898637963205,0.04742383150350986,8.922143290611093,723.75,193.97500000000002,66.26847182619616,176.25,172.75,172.75,168.25,0.19786729857819907,0.2428909952606635,0.19786729857819904,exponential
