suite,scenario_name,final_nodes,alpha,beta,phi,kappa,K,K_label,varied_parameter,varied_value,alpha_mean,alpha_std,beta_mean,beta_std,phi_mean,phi_std,kappa_mean,kappa_std,final_nodes_mean,final_nodes_std,replications_mean,replications_std,final_node_count_mean,final_node_count_std,final_edge_count_mean,final_edge_count_std,early_terminated_mean,early_terminated_std,truncation_events_mean,truncation_events_std,total_missing_links_mean,total_missing_links_std,mean_degree_mean,mean_degree_std,max_degree_mean,max_degree_std,degree_gini_mean,degree_gini_std,share_at_capacity_mean,share_at_capacity_std,connected_components_mean,connected_components_std,largest_component_size_mean,largest_component_size_std,largest_component_share_mean,largest_component_share_std,average_clustering_mean,average_clustering_std,average_shortest_path_lcc_mean,average_shortest_path_lcc_std,diameter_lcc_mean,diameter_lcc_std,degree_assortativity_mean,degree_assortativity_std,mean_edge_length_mean,mean_edge_length_std,median_edge_length_mean,median_edge_length_std,total_network_length_mean,total_network_length_std,degree_centralization_mean,degree_centralization_std,fraction_degree_1_mean,fraction_degree_1_std,fraction_degree_ge_threshold_mean,fraction_degree_ge_threshold_std,cyclomatic_number_mean,cyclomatic_number_std,edge_length_p10_mean,edge_length_p10_std,edge_length_p25_mean,edge_length_p25_std,edge_length_p50_mean,edge_length_p50_std,edge_length_p75_mean,edge_length_p75_std,edge_length_p90_mean,edge_length_p90_std
beta_k_heatmap,beta_0.0_K_16,1000,1.0,0.0,1.0,2,16,16,grid,beta=0.0|K=16,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.3614662916666667,0.002398522532521878,0.035333333333333335,0.003938927711338648,1.0,0.0,1000.0,0.0,1.0,0.0,0.011000077468827467,0.002671866239392508,4.58823006339673,0.021711219356758755,8.0,0.0,-0.0456009046353199,0.019948670320382167,0.3507947834101766,0.006094367067066018,0.30245595517000484,0.008660190032492578,701.5895668203533,12.188734134132057,0.012036084180372756,0.0,0.0,0.0,0.07583333333333332,0.0035632807491088494,1001.0,0.0,0.056450188237095245,0.002454701264118312,0.13851760640029262,0.003327918404464171,0.30245595517000484,0.008660190032492578,0.5209504308811751,0.010417380304732502,0.7263966610127267,0.01392030155974768
beta_k_heatmap,beta_0.0_K_32,1000,1.0,0.0,1.0,2,32,32,grid,beta=0.0|K=32,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,0.37982041666666677,0.00428231246913784,0.008333333333333333,0.0016696942198734437,1.0,0.0,1000.0,0.0,1.0,0.0,0.019640850663194785,0.0032649287277981445,4.293093760427094,0.04060659057028431,7.75,0.45226701686664544,-0.05287782540662827,0.021976656114976633,0.35144453521969554,0.006261885844650801,0.3008063552584273,0.007954717855787306,702.8890704393912,12.523771689301617,0.028084196420869772,0.0,0.0,0.0,0.06191666666666667,0.0064731379679036005,1001.0,0.0,0.0553174091577682,0.0036323885697941423,0.13919812284310393,0.0062145872493952845,0.3008063552584273,0.007954717855787306,0.5236194066337757,0.011576161064164935,0.7308898303120485,0.01446737360064247
beta_k_heatmap,beta_0.0_K_8,1000,1.0,0.0,1.0,2,8,8,grid,beta=0.0|K=8,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.29954612500000016,0.0012829936605277942,0.17425000000000002,0.005863988713867346,1.0,0.0,1000.0,0.0,1.0,0.0,0.008456547619047615,0.0026916493869720724,5.0428808808808805,0.01009648118352554,8.666666666666666,0.49236596391733095,0.018822896287595182,0.011340309467892122,0.35199948143660537,0.0072307032034895765,0.30476129177977346,0.009146533250262092,703.9989628732106,14.461406406979151,0.004012028060124253,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.05578461619682603,0.003746265821337831,0.1390170771304671,0.0028396135665757546,0.30476129177977346,0.009146533250262092,0.5224096921450293,0.013238423222342956,0.7284749648627059,0.017401646463864252
beta_k_heatmap,beta_0.0_K_very_large,1000,1.0,0.0,1.0,2,very_large,very_large,grid,beta=0.0|K=very_large,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,85.08333333333333,11.049132695978148,0.38970137500000007,0.0033761956812970798,0.0,0.0,1.0,0.0,1000.0,0.0,1.0,0.0,0.036187335493531606,0.00821842320072164,4.052921421421421,0.08295152323059253,7.333333333333333,0.4923659639173309,-0.08328122740381656,0.01243434794382775,0.35184370349912064,0.004752937419861809,0.3022825278024797,0.00602894546493094,703.6874069982414,9.505874839723624,0.08132715213543537,0.011082357604075166,0.0,0.0,0.05675,0.006017021310793696,1001.0,0.0,0.05716152104152352,0.004441184904795867,0.140652156504597,0.004443063704863635,0.3022825278024797,0.00602894546493094,0.5235287067128883,0.010414279628437597,0.7258477458043823,0.013554937298771158
beta_k_heatmap,beta_0.5_K_16,1000,1.0,0.5,1.0,2,16,16,grid,beta=0.5|K=16,1.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.3491499166666667,0.002601731126780901,0.0165,0.0019306145983268466,1.0,0.0,1000.0,0.0,1.0,0.0,0.010770989427239426,0.002847930061049262,4.6803513513513515,0.01596523635107301,8.0,0.0,0.01759135749672379,0.01820716873917115,0.34929282840475295,0.006028050286861373,0.29763540042996645,0.008691635850707879,698.585656809506,12.056100573722757,0.012036084180372756,0.0,0.0,0.0,0.07275,0.0039571569224748845,1001.0,0.0,0.055098810151677426,0.004007864612540153,0.1395356040683461,0.006610052692463621,0.29763540042996645,0.008691635850707879,0.5191637555463826,0.013853674335620677,0.7271991652918789,0.011660741612316698
beta_k_heatmap,beta_0.5_K_32,1000,1.0,0.5,1.0,2,32,32,grid,beta=0.5|K=32,1.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,31.916666666666668,0.2886751345948127,0.3704429166666668,0.002227934498316276,0.002,0.001044465935734187,1.0,0.0,1000.0,0.0,1.0,0.0,0.01683522980577021,0.004262062163341664,4.391882048715382,0.025868638704952984,8.0,0.0,-0.010521212328027727,0.012591003393063646,0.3493535567412683,0.005474438688251201,0.2994547887231542,0.008889182036737813,698.7071134825366,10.948877376502399,0.028000612502950512,0.00028954318506363403,0.0,0.0,0.06491666666666666,0.0034761089357690377,1001.0,0.0,0.05834098186451472,0.0026848776162792533,0.1378009462706145,0.005430209906702761,0.2994547887231542,0.008889182036737813,0.5186223564295663,0.008879658250177731,0.7253021991510346,0.01762635324218942
beta_k_heatmap,beta_0.5_K_8,1000,1.0,0.5,1.0,2,8,8,grid,beta=0.5|K=8,1.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.29099095833333344,0.0023523647140921955,0.1376666666666667,0.00475458311590622,1.0,0.0,1000.0,0.0,1.0,0.0,0.008023214285714283,0.0022897509280515385,5.084752585919253,0.015121655496751348,8.75,0.45226701686664555,0.06998646016178363,0.020750967055509197,0.34818764029631305,0.006751043485797569,0.29755377867154215,0.007701957557452845,696.375280592626,13.502086971595123,0.004012028060124253,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.05549469422469252,0.004258923039228346,0.1357155817867275,0.004941811266474094,0.29755377867154215,0.007701957557452845,0.5171460589439604,0.013759069518351113,0.7243140147094761,0.014294341912233728
beta_k_heatmap,beta_0.5_K_very_large,1000,1.0,0.5,1.0,2,very_large,very_large,grid,beta=0.5|K=very_large,1.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,77.16666666666667,18.47274815078753,0.3895132916666668,0.0038072282775264317,0.0,0.0,1.0,0.0,1000.0,0.0,1.0,0.0,0.03159083682127015,0.005402691309764511,4.088991324657991,0.05809360444413832,7.166666666666667,0.38924947208076144,-0.08684038809527012,0.01604876973059957,0.350156916047681,0.005087338902019424,0.2999540484024866,0.006700286963794955,700.313832095362,10.174677804038858,0.07338667993310612,0.018528295982141993,0.0,0.0,0.057333333333333326,0.004355421560503298,1001.0,0.0,0.05785487355752474,0.004327820100272805,0.14099874683545188,0.005426984969852779,0.2999540484024866,0.006700286963794955,0.52033605748814,0.011169111954965692,0.7221508528501198,0.015372790918632582
beta_k_heatmap,beta_1.0_K_16,1000,1.0,1.0,1.0,2,16,16,grid,beta=1.0|K=16,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.33596662500000013,0.002023515585278153,0.004416666666666667,0.0016764862244009226,1.0,0.0,1000.0,0.0,1.0,0.0,0.00953713554963555,0.0031063275828583734,4.76712962962963,0.013966484800991509,8.0,0.0,0.057358547280173124,0.017806187724637986,0.3509040642418662,0.0061032183656428585,0.3033162091479745,0.008269034616284915,701.8081284837325,12.206436731285729,0.012036084180372756,0.0,0.0,0.0,0.06483333333333334,0.0046871843328054625,1001.0,0.0,0.05543989860262375,0.0037093433440839414,0.14046352991096692,0.00361144647535763,0.3033162091479745,0.008269034616284915,0.5210527843523103,0.00954246483750859,0.7244659114657829,0.018909499011863815
beta_k_heatmap,beta_1.0_K_32,1000,1.0,1.0,1.0,2,32,32,grid,beta=1.0|K=32,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.166666666666668,2.2087978356535656,0.3609732916666668,0.003046686810427623,8.333333333333333e-05,0.00028867513459481284,1.0,0.0,1000.0,0.0,1.0,0.0,0.014053669889615927,0.0030195184270901338,4.502308141474808,0.0324937218334613,8.0,0.0,0.015421367501777044,0.018401483805491968,0.3480856528913607,0.007113180638141568,0.2980012646092321,0.007711849406608329,696.1713057827213,14.226361276283134,0.025242343211615087,0.002215439723945956,0.0,0.0,0.06616666666666667,0.0030993645487519916,1001.0,0.0,0.05433322685242525,0.004827922765049327,0.13609717174386615,0.005768378752674155,0.2980012646092321,0.007711849406608329,0.5204015319970766,0.014320140589120036,0.7223761886856256,0.0190357778918237
beta_k_heatmap,beta_1.0_K_8,1000,1.0,1.0,1.0,2,8,8,grid,beta=1.0|K=8,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.2758899166666668,0.0017369791676320751,0.08816666666666667,0.003406766884607838,1.0,0.0,1000.0,0.0,1.0,0.0,0.007112103174603173,0.0015203265993870133,5.152325825825826,0.010014280938902371,9.0,0.0,0.12909711539004168,0.012827864793210329,0.3544794140420275,0.00607791644657865,0.3042357063315502,0.006884426735410636,708.9588280840549,12.155832893157287,0.004012028060124253,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.056827317158382386,0.0030894083841571506,0.14067894380670629,0.006762560446584333,0.3042357063315502,0.006884426735410636,0.5295539990747059,0.010295145590542277,0.7333569940133677,0.009790810863891296
beta_k_heatmap,beta_1.0_K_very_large,1000,1.0,1.0,1.0,2,very_large,very_large,grid,beta=1.0|K=very_large,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1000.0,0.0,12.0,0.0,1000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,72.41666666666667,8.959082068780905,0.3882954166666668,0.003653078955629178,0.0,0.0,1.0,0.0,1000.0,0.0,1.0,0.0,0.028828399033357984,0.006748277503580728,4.102418418418418,0.06933180669487912,7.416666666666667,0.514928650544437,-0.07897645133525323,0.014653189957748693,0.3499075964503557,0.00479037365096615,0.301280089705004,0.009090166616434784,699.8151929007113,9.58074730193229,0.06862239661170856,0.008986022163226257,0.0,0.0,0.05658333333333334,0.004273774855458757,1001.0,0.0,0.056433724343945245,0.002015939410926045,0.13850918336798987,0.004386812483797712,0.301280089705004,0.009090166616434784,0.5203306095042929,0.006938299801715795,0.7229112555597665,0.012445564473222936
