scenarioId,scenarioLabel,replications,nodeCount_mean,nodeCount_sd,edgeCount_mean,edgeCount_sd,generatedIntersectionNodes_mean,generatedIntersectionNodes_sd,splitLinkCount_mean,splitLinkCount_sd,splitEvents_mean,splitEvents_sd,crossingCandidatesEncountered_mean,crossingCandidatesEncountered_sd,crossingCandidatesAdmitted_mean,crossingCandidatesAdmitted_sd,lonelyNodeCount_mean,lonelyNodeCount_sd,meanDegree_mean,meanDegree_sd,maxDegree_mean,maxDegree_sd,degreeGini_mean,degreeGini_sd,shareAtCapacity_mean,shareAtCapacity_sd,connectedComponents_mean,connectedComponents_sd,largestComponentSize_mean,largestComponentSize_sd,largestComponentShare_mean,largestComponentShare_sd,averageClustering_mean,averageClustering_sd,averagePathLengthLargestComponent_mean,averagePathLengthLargestComponent_sd,diameterLargestComponent_mean,diameterLargestComponent_sd,degreeAssortativity_mean,degreeAssortativity_sd,meanEdgeLength_mean,meanEdgeLength_sd,medianEdgeLength_mean,medianEdgeLength_sd,totalNetworkLength_mean,totalNetworkLength_sd,fractionLeaves_mean,fractionLeaves_sd,fractionDegreeAboveThreshold_mean,fractionDegreeAboveThreshold_sd,cyclomaticNumber_mean,cyclomaticNumber_sd,triangleCount_mean,triangleCount_sd,squareCount_mean,squareCount_sd,dominantDirectionShare_mean,dominantDirectionShare_sd,eastWestBias_mean,eastWestBias_sd,northSouthBias_mean,northSouthBias_sd,meanCumulativeAccess_mean,meanCumulativeAccess_sd,meanGravityAccess_mean,meanGravityAccess_sd
ba_benchmark,BA benchmark,6,500,0,1000,0,0,0,0,0,0,0,0,0,973.1666666666666,4.705198071164368,0,0,4,0,56.833333333333336,4.336537277085895,0.39192199999999994,0.005190191261729521,0,0,1,0,500,0,1,0,0.04737060451439495,0.012154532085131202,3.7350407481629926,0.03712627267320937,6.833333333333333,0.372677996249965,0.24787318293771188,0.03549437328395461,0.5255088839179095,0.010127248832703233,0.5193701686477062,0.011355652380206277,525.5088839179095,10.127248832703225,0,0,0.056333333333333326,0.002924988129130707,501,0,64.33333333333333,9.910712498212337,330.6666666666667,51.10990336737316,0.16296296296296295,0.010732240707413625,0.0006734006734006728,0.015546661792074338,0,0.02096213120036819,18.005333333333333,1.654612408457709,10.918456224225778,0.5913389514233883
capacity_only,Capacity only,6,500,0,1000,0,0,0,0,0,0,0,0,0,973.8333333333334,2.1147629234082532,0,0,4,0,16,0,0.33776800000000007,0.004118201711103201,0.004666666666666667,0.002748737083745107,1,0,500,0,1,0,0.017698249898249894,0.005534328465423043,4.3152037408149635,0.029650192918657118,7.833333333333333,0.372677996249965,0.47408779830189746,0.02382154321600569,0.5253592353165234,0.0086850204493826,0.5163928217671936,0.013251685285198623,525.3592353165235,8.685020449382591,0,0,0.06633333333333334,0.006574360974438672,501,0,39,5.033222956847166,132.66666666666666,11.3382342344633,0.16161616161616163,0.007736784709142124,0.004377104377104378,0.021739997922367582,0.009090909090909089,0.013837523628306071,10.126,0.9766657565411002,6.659232919857647,0.5568406800911427
spatial_only,Spatial only,6,500,0,1000,0,0,0,0,0,0,0,0,0,941,7.979139469057215,0,0,4,0,66.66666666666667,12.215654801205796,0.3911173333333333,0.0045204811936587165,0,0,1,0,500,0,1,0,0.06563177616186515,0.013497882841069498,3.721738142952572,0.055752006751066466,7,0,0.2244442884125775,0.04570846729986978,0.35026761249008803,0.007155875336919129,0.2990774857367576,0.0100041850282229,350.26761249008797,7.155875336919125,0,0,0.055,0.008386497083606085,501,0,79,12.871156384205214,332.8333333333333,56.696315772916165,0.16026936026936026,0.007707422991420609,-0.006060606060606061,0.015296722816970433,0.0047138047138047135,0.017791036786024117,119.272,10.698168316741578,41.971487988564256,2.341879343379613
general_model,General model,6,500,0,1000,0,0,0,0,0,0,0,0,0,937,4.203173404306164,0,0,4,0,16,0,0.3365956666666667,0.0021665796136358163,0.006000000000000001,0.0016329931618554523,1,0,500,0,1,0,0.01560626040626041,0.0033397514961737,4.324676018704074,0.01745582086663364,7.833333333333333,0.372677996249965,0.46962246862448875,0.010605155221652247,0.3560185011209027,0.007524452637607818,0.3079212023750462,0.006574023256439143,356.0185011209027,7.524452637607829,0,0,0.068,0.004163331998932265,501,0,38.833333333333336,5.047001309908906,132.33333333333334,17.3749500398962,0.16700336700336701,0.00301153936363608,-0.007407407407407408,0.024120531567100763,-0.013131313131313131,0.01919191919191919,79.94733333333333,8.312003662709063,32.35964784138105,2.066494486567768
