suite,scenario_name,final_nodes,tail_n,kmin,power_alpha,power_ks,power_loglik,power_aic,exp_lambda,exp_loglik,exp_aic,lognorm_sigma,lognorm_scale,lognorm_loglik,lognorm_aic,llr_power_vs_exp,llr_power_vs_lognorm,preferred_model
beta_k_heatmap,beta_0.0_K_16,1000,424,16,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_0.0_K_32,1000,6184,3,2.5985854042291567,0.020111099785387554,-13072.298583168822,26146.597166337644,0.29795690039287903,-13694.451539284042,27390.903078568084,1.631243426399,0.12087977173315344,-13039.623573512878,26083.247147025755,622.1529561152201,-32.67500965594445,lognormal
beta_k_heatmap,beta_0.0_K_8,1000,2091,8,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_0.0_K_very_large,1000,2441,5,2.757683931046907,0.008294263318910589,-6161.469548084123,12324.939096168246,0.18612757991659262,-6548.629745806125,13099.25949161225,2.6856580300226245,4.5399929762484854e-05,-6160.105320882515,12324.21064176503,387.1601977220025,-1.3642272016077186,lognormal
beta_k_heatmap,beta_0.5_K_16,1000,198,16,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_0.5_K_32,1000,2765,5,2.8394206506383997,0.031557271077485294,-6786.178592907845,13574.35718581569,0.22689479693263664,-6872.161729118059,13746.323458236118,1.1823612842516225,0.919529658493129,-6758.295717666935,13520.59143533387,85.98313621021407,-27.882875240909925,lognormal
beta_k_heatmap,beta_0.5_K_8,1000,1652,8,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_0.5_K_very_large,1000,2446,5,2.746089664938999,0.011324478060900978,-6199.214417155227,12400.428834310454,0.18660380042307462,-6555.811360066509,13113.622720133018,2.6950224321188827,4.5399929762484854e-05,-6197.441014728701,12398.882029457402,356.596942911282,-1.7734024265264452,lognormal
beta_k_heatmap,beta_1.0_K_16,1000,53,16,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_1.0_K_32,1000,6584,3,2.5988679425132752,0.036634494628939474,-13916.019323181834,27834.038646363668,0.32066450641569927,-14100.513483887216,28203.026967774433,1.127274363046445,1.0082006942918462,-13805.076496695136,27614.15299339027,184.49416070538246,-110.94282648669832,lognormal
beta_k_heatmap,beta_1.0_K_8,1000,1058,8,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_1.0_K_very_large,1000,3660,4,2.6988032013601604,0.013290200056700674,-8546.228376596966,17094.456753193932,0.2277024165678179,-9083.656081080415,18169.31216216083,2.255114201968063,0.002060679101940208,-8540.87755404138,17085.75510808276,537.4277044834489,-5.350822555585182,lognormal
beta_k_heatmap,beta_2.0_K_16,1000,34,14,30.41518067330233,0.011438447210960656,-14.906813597361634,31.813627194723267,2.054123733695546,-14.935456799936222,31.870913599872445,0.10000000000000002,14.140914454251142,-31.921621470665382,67.84324294133077,0.028643202574588855,17.01480787330375,power_law
beta_k_heatmap,beta_2.0_K_32,1000,4472,4,2.8163230432562956,0.05785132243004498,-9981.863614281127,19965.727228562253,0.30252126309363025,-9835.753942379046,19673.50788475809,0.7683211138982835,2.987132905531958,-9824.21766511144,19652.43533022288,-146.10967190208066,-157.645949169686,lognormal
beta_k_heatmap,beta_2.0_K_8,1000,289,8,,,,,,,,,,,,,,endpoint
beta_k_heatmap,beta_2.0_K_very_large,1000,3706,4,2.7146921915617948,0.014356068830615243,-8599.920335785264,17201.840671570528,0.23148649844364705,-9137.007702470955,18276.01540494191,2.0874566635085667,0.006456188690576271,-8593.115329071883,17190.230658143766,537.0873666856914,-6.8050067133808625,lognormal
headline,ba_benchmark,200,1597,3,2.5960191371438652,0.011207917242676557,-3379.932469250994,6761.864938501988,0.2870572676829388,-3595.6453371301577,7193.290674260315,2.064719828879029,0.010127632720375668,-3376.110618140574,6756.221236281148,215.7128678791637,-3.8218511104200843,lognormal
headline,ba_benchmark,1000,2355,6,2.8161765322195396,0.005484053824153512,-6286.20237881697,12574.40475763394,0.16179159570343696,-6647.072735203044,13296.145470406089,2.6575711810150633,4.5399929762484854e-05,-6285.745618075094,12575.491236150188,360.8703563860745,-0.45676074187576887,power_law
headline,capacity_only,200,1245,4,2.8593430319611386,0.06440770812377367,-2734.881890644212,5471.763781288424,0.32236242252676806,-2659.814899650892,5321.629799301784,0.6449027443925471,3.814679699315387,-2669.8070649492583,5343.614129898517,-75.0669909933199,-65.07482569495369,exponential
headline,capacity_only,1000,72,16,,,,,,,,,,,,,,endpoint
headline,general_model,200,22,15,,,,,,,,,,,,,,two_values
headline,general_model,1000,73,16,,,,,,,,,,,,,,endpoint
headline,spatial_only,200,3200,2,2.4917281962162843,0.02139913149194317,-5663.763501029169,11329.527002058338,0.40546510810816444,-6110.536015630203,12223.072031260406,1.7872138431858546,0.05401709780356538,-5650.584648483913,11305.169296967826,446.77251460103435,-13.178852545255722,lognormal
headline,spatial_only,1000,2330,6,2.7790720924788554,0.007281287001963177,-6293.679461075919,12589.358922151838,0.15836050510644503,-6626.346254682416,13254.692509364831,2.625250521815912,8.074316934024099e-05,-6291.875444188627,12587.750888377253,332.66679360649687,-1.804016887292164,lognormal
heterogeneous_capacity,constant_capacity,1000,63,16,,,,,,,,,,,,,,endpoint
heterogeneous_capacity,lognormal_capacity,1000,16000,2,2.4816416103166032,0.019267697403324457,-28489.607837456813,56981.21567491363,0.40546510810816444,-30552.680078151017,61107.360156302035,1.7444899928613142,0.06926569627909833,-28413.286627894042,56830.573255788084,2063.072240694204,-76.3212095627714,lognormal
heterogeneous_capacity,uniform_capacity,1000,16000,2,2.3938234245832324,0.0461945114649559,-30054.917582249742,60111.835164499484,0.40546510810816444,-30552.680078151017,61107.360156302035,1.1641767761585988,0.8468222970899435,-29711.374447506387,59426.74889501277,497.76249590127554,-343.54313474335504,lognormal
sensitivity,K_16,1000,46,16,,,,,,,,,,,,,,endpoint
sensitivity,K_32,1000,12000,2,2.4105180753850335,0.042096446551249445,-22309.499353160634,44620.99870632127,0.40546510810816444,-22914.51005861326,45831.02011722652,1.2326679708290238,0.6648024923342658,-22100.422340463258,44204.844680926515,605.010705452627,-209.07701269737663,lognormal
sensitivity,K_8,1000,1076,8,,,,,,,,,,,,,,endpoint
sensitivity,K_very_large,1000,1753,6,2.768348296163484,0.011684816205137727,-4751.551610507727,9505.103221015454,0.15894040370204243,-4979.00713711631,9960.01427423262,2.3998458204050723,0.0006386645580844143,-4749.596725462388,9503.193450924777,227.45552660858357,-1.9548850453384148,lognormal
sensitivity,alpha_0.5,1000,24,15,,,,,,,,,,,,,,two_values
sensitivity,alpha_1.0,1000,49,16,,,,,,,,,,,,,,endpoint
sensitivity,alpha_1.5,1000,217,16,,,,,,,,,,,,,,endpoint
sensitivity,baseline,1000,47,16,,,,,,,,,,,,,,endpoint
sensitivity,beta_0.0,1000,425,16,,,,,,,,,,,,,,endpoint
sensitivity,beta_0.5,1000,210,16,,,,,,,,,,,,,,endpoint
sensitivity,beta_1.0,1000,52,16,,,,,,,,,,,,,,endpoint
sensitivity,beta_2.0,1000,36,14,,,,,,,,,,,,,,two_values
sensitivity,kappa_1,1000,2485,3,2.7848270048548454,0.04691826549829786,-4831.214286770053,9664.428573540106,0.4006282591884902,-4774.634816782755,9551.26963356551,0.832262470637304,1.9099991246143064,-4759.333246552371,9522.666493104742,-56.57946998729858,-71.88104021768231,lognormal
sensitivity,kappa_2,1000,51,16,,,,,,,,,,,,,,endpoint
sensitivity,kappa_4,1000,560,16,,,,,,,,,,,,,,endpoint
sensitivity,phi_0.0,1000,50,16,,,,,,,,,,,,,,endpoint
sensitivity,phi_0.5,1000,55,16,,,,,,,,,,,,,,endpoint
sensitivity,phi_1.0,1000,47,16,,,,,,,,,,,,,,endpoint
sensitivity,phi_2.0,1000,47,16,,,,,,,,,,,,,,endpoint
