scenario_name,alpha,beta,phi,kappa,K,suite,final_nodes,K_label,varied_parameter,varied_value,replications,capacity_mode,capacity_params
ba_benchmark,1.0,0.0,0.0,2,very_large,headline,200,very_large,,,16,,
capacity_only,1.0,1.0,0.0,2,16,headline,200,16,,,16,,
spatial_only,1.0,0.0,1.0,2,very_large,headline,200,very_large,,,16,,
general_model,1.0,1.0,1.0,2,16,headline,200,16,,,16,,
ba_benchmark,1.0,0.0,0.0,2,very_large,headline,1000,very_large,,,16,,
capacity_only,1.0,1.0,0.0,2,16,headline,1000,16,,,16,,
spatial_only,1.0,0.0,1.0,2,very_large,headline,1000,very_large,,,16,,
general_model,1.0,1.0,1.0,2,16,headline,1000,16,,,16,,
baseline,1.0,1.0,1.0,2,16,sensitivity,1000,16,baseline,0,12,,
alpha_0.5,0.5,1.0,1.0,2,16,sensitivity,1000,16,alpha,0.5,12,,
alpha_1.0,1.0,1.0,1.0,2,16,sensitivity,1000,16,alpha,1.0,12,,
alpha_1.5,1.5,1.0,1.0,2,16,sensitivity,1000,16,alpha,1.5,12,,
beta_0.0,1.0,0.0,1.0,2,16,sensitivity,1000,16,beta,0.0,12,,
beta_0.5,1.0,0.5,1.0,2,16,sensitivity,1000,16,beta,0.5,12,,
beta_1.0,1.0,1.0,1.0,2,16,sensitivity,1000,16,beta,1.0,12,,
beta_2.0,1.0,2.0,1.0,2,16,sensitivity,1000,16,beta,2.0,12,,
phi_0.0,1.0,1.0,0.0,2,16,sensitivity,1000,16,phi,0.0,12,,
phi_0.5,1.0,1.0,0.5,2,16,sensitivity,1000,16,phi,0.5,12,,
phi_1.0,1.0,1.0,1.0,2,16,sensitivity,1000,16,phi,1.0,12,,
phi_2.0,1.0,1.0,2.0,2,16,sensitivity,1000,16,phi,2.0,12,,
kappa_1,1.0,1.0,1.0,1,16,sensitivity,1000,16,kappa,1,12,,
kappa_2,1.0,1.0,1.0,2,16,sensitivity,1000,16,kappa,2,12,,
kappa_4,1.0,1.0,1.0,4,16,sensitivity,1000,16,kappa,4,12,,
K_8,1.0,1.0,1.0,2,8,sensitivity,1000,8,K,8,12,,
K_16,1.0,1.0,1.0,2,16,sensitivity,1000,16,K,16,12,,
K_32,1.0,1.0,1.0,2,32,sensitivity,1000,32,K,32,12,,
K_very_large,1.0,1.0,1.0,2,very_large,sensitivity,1000,very_large,K,very_large,12,,
beta_0.0_K_8,1.0,0.0,1.0,2,8,beta_k_heatmap,1000,8,grid,beta=0.0|K=8,12,,
beta_0.0_K_16,1.0,0.0,1.0,2,16,beta_k_heatmap,1000,16,grid,beta=0.0|K=16,12,,
beta_0.0_K_32,1.0,0.0,1.0,2,32,beta_k_heatmap,1000,32,grid,beta=0.0|K=32,12,,
beta_0.0_K_very_large,1.0,0.0,1.0,2,very_large,beta_k_heatmap,1000,very_large,grid,beta=0.0|K=very_large,12,,
beta_0.5_K_8,1.0,0.5,1.0,2,8,beta_k_heatmap,1000,8,grid,beta=0.5|K=8,12,,
beta_0.5_K_16,1.0,0.5,1.0,2,16,beta_k_heatmap,1000,16,grid,beta=0.5|K=16,12,,
beta_0.5_K_32,1.0,0.5,1.0,2,32,beta_k_heatmap,1000,32,grid,beta=0.5|K=32,12,,
beta_0.5_K_very_large,1.0,0.5,1.0,2,very_large,beta_k_heatmap,1000,very_large,grid,beta=0.5|K=very_large,12,,
beta_1.0_K_8,1.0,1.0,1.0,2,8,beta_k_heatmap,1000,8,grid,beta=1.0|K=8,12,,
beta_1.0_K_16,1.0,1.0,1.0,2,16,beta_k_heatmap,1000,16,grid,beta=1.0|K=16,12,,
beta_1.0_K_32,1.0,1.0,1.0,2,32,beta_k_heatmap,1000,32,grid,beta=1.0|K=32,12,,
beta_1.0_K_very_large,1.0,1.0,1.0,2,very_large,beta_k_heatmap,1000,very_large,grid,beta=1.0|K=very_large,12,,
beta_2.0_K_8,1.0,2.0,1.0,2,8,beta_k_heatmap,1000,8,grid,beta=2.0|K=8,12,,
beta_2.0_K_16,1.0,2.0,1.0,2,16,beta_k_heatmap,1000,16,grid,beta=2.0|K=16,12,,
beta_2.0_K_32,1.0,2.0,1.0,2,32,beta_k_heatmap,1000,32,grid,beta=2.0|K=32,12,,
beta_2.0_K_very_large,1.0,2.0,1.0,2,very_large,beta_k_heatmap,1000,very_large,grid,beta=2.0|K=very_large,12,,
constant_capacity,1.0,1.0,1.0,2,16,heterogeneous_capacity,1000,16,,,16,,
uniform_capacity,1.0,1.0,1.0,2,uniform_integer_8_24,heterogeneous_capacity,1000,uniform_integer_8_24,,,16,uniform,"{'low': 8, 'high': 24}"
lognormal_capacity,1.0,1.0,1.0,2,rounded_lognormal_mean_approximately_16,heterogeneous_capacity,1000,rounded_lognormal_mean_approximately_16,,,16,lognormal,"{'mean': 2.647588722239781, 'sigma': 0.5}"
