tranche,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,shareAtCapacity,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
f1_baseline,ba_benchmark,BA benchmark,0,0,4,15.25,0.33962962962962967,0.004166666666666667,0.045337825754492425,0.3654541913940238,3.6418839230291744,181,0,313,0,0,0.16714285714285715,0.02142857142857143,0.011428571428571429,exponential
f1_baseline,capacity_only,Capacity only,0,0,4,15,0.32925925925925936,0,0.04793734043734043,0.361696405959294,3.6673494723774054,181,0,315,0,0,0.14857142857142858,-0.03428571428571429,0,exponential
f1_baseline,spatial_only,Spatial only,0,0,4,15,0.33194058641975316,0.001388888888888889,0.047247779226945896,0.37052559943221386,3.663578522656735,181,0,312,0,0,0.16285714285714287,0.0028571428571428576,-0.005714285714285714,exponential
f1_baseline,general_model,General model,0,0,4,15,0.32925925925925936,0,0.04793734043734043,0.361696405959294,3.6673494723774054,181,0,315,0,0,0.14857142857142858,-0.03428571428571429,0,exponential
f2_arrival,uniform_square,Uniform square,0,0,4,15.666666666666666,0.33576131687242805,0.005555555555555556,0.04950156839045727,0.3762185462407955,3.6452100144837574,181,0,313.6666666666667,0,0,0.16952380952380952,-0.005714285714285714,-0.007619047619047619,exponential
f2_arrival,uniform_lattice,Uniform lattice,1,0,1.6000000000000003,4,0.30000000000000004,0,0,0.07745966692414832,1.6000000000000003,0,0,0,0,0,0.4000000000000001,0.20000000000000004,0,insufficient_tail
f2_arrival,near_network,Near existing network,0,1,3.2000000000000006,4,0.13198784722222223,0,0,0.07745966692414856,9.178571428571429,73,0,0,0,0,0.20869565217391303,0,0.1391304347826087,lognormal
f2_arrival,outside_region,Outside occupied region,0,1,3.505555555555555,4,0.0983486624290737,0,0,0.07745966692414862,7.342623716153128,91.33333333333333,0,0,0,0,0.17391304347826086,-0.02318840579710145,0.008695652173913049,lognormal
f3_mesh,mesh_90_edge,90 edge-neighbor,0,1,3.3777777777777778,4,0.11771426386719212,0,0,0.07745966692414859,8.086041083099905,83.66666666666667,0,0,0,0,0.19420289855072462,-0.02028985507246377,0.1101449275362319,lognormal
f3_mesh,mesh_90_corner,90 edge-plus-corner,0,1,3.7999999999999994,8,0.24060672514619896,0,0.3216468253968254,0.09265775119740989,6.673809523809524,109,0,10,0,0,0.17391304347826086,-0.06086956521739131,-0.0782608695652174,exponential
f3_mesh,mesh_60_edge,60 nearest-edge,0,1,3.6,6,0.21743827160493834,0,0.3072222222222223,0.08323582900575638,7.182913165266107,97,0,0,0,0,0.18584070796460175,-0.06194690265486726,-0.17699115044247785,exponential
f3_mesh,mesh_60_expanded,60 expanded ring,0,1,3.9500000000000006,10,0.29142053445850924,0,0.32992724867724876,0.10791749213176265,5.189495798319328,118,0,48,0,0,0.1504424778761062,0.02654867256637168,-0.02654867256637168,exponential
f4_planarity,planarity_none,No planarity,0,0,7.357142857142857,13,0.2142857142857142,0,0.328291946149089,0.5600085460904554,1.7989417989417988,76,0,78,0,0,0.1818181818181818,-0.0909090909090909,-0.0909090909090909,exponential
f4_planarity,planarity_reject,Reject crossings,0,1,5.285714285714286,13.333333333333334,0.30798432810505233,0,0.6829272579272581,0.3308784499056412,2.2248677248677247,47,0,0,0,0,0.24242424242424243,-0.04545454545454545,0.04545454545454545,exponential
f4_planarity,planarity_split,Split crossings,0,0,4.0755750867443785,7.666666666666667,0.017613276088177088,0,0.16604967184762032,0.018347961270204053,,1292.6666666666667,9436,82.66666666666667,1216.6666666666667,22,0.21212121212121213,-0.07575757575757576,-0.04545454545454545,exponential
f5_access,access_none,No access weighting,0,1,3.4888888888888885,4,0.09905574732562232,0,0,0.0632455532033674,9.996710117939168,135,0,0,0,0,0.17333333333333334,0.011428571428571429,-0.005714285714285714,lognormal
f5_access,access_network_both,Network access both,0,1,3.3370370370370375,4,0.12229836394771532,0,0,0.06324555320336746,11.083219532381543,121.33333333333333,0,0,0,0,0.18857142857142858,0.013333333333333336,0.017142857142857144,lognormal
f5_access,access_seed_both,Seed access both,0,1,3.4592592592592593,4,0.10665834771568868,0,0,0.06324555320336742,10.194496172149805,132.33333333333334,0,0,0,0,0.18857142857142858,-0.0019047619047619048,0.05714285714285714,lognormal
f5_access,access_opportunity_both,Opportunity access both,0,1,3.2999999999999994,4,0.1351103628881407,0,0,0.06324555320336749,10.668342644320298,118,0,0,0,0,0.18857142857142858,-0.005714285714285714,-0.045714285714285714,lognormal
