scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,connectedComponents_mean,largestComponentShare_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,cyclomaticNumber_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitEvents_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
ba_benchmark,BA benchmark,8,0,0,4,14.625,0.33378125000000003,0.0025,1,1,0.08201029872904872,3.2771464646464654,0.37963369385387313,75.92673877077463,101,2046.125,0,0,-0.013157894736842103,0.035526315789473684,9.846556093516398,27.242500000000003
capacity_only,Capacity only,8,0,0,4,14.75,0.3345250000000001,0.0025,1,1,0.08251284479409479,3.258358585858586,0.3771517359632986,75.43034719265972,101,1999.75,0,0,-0.006578947368421052,0.015789473684210523,9.681997367862682,26.6725
spatial_only,Spatial only,8,0,0,4,14.875,0.3312625,0.0025,1,1,0.07724735680985681,3.247550505050505,0.3739611059485059,74.79222118970118,101,2106.625,0,0,0.02105263157894737,0.0013157894736842111,9.956037945724962,27.812500000000004
general_model,General model,8,0,0,4,14.5,0.33320625,0.00125,1,1,0.07931979131979132,3.2591161616161615,0.37957157532161734,75.91431506432347,101,2100.625,0,0,-0.018421052631578942,-0.005263157894736841,9.37169535132977,25.632500000000004
phi_0,General phi=0,8,0,0,4,14.375,0.34195624999999996,0.00125,1,1,0.07528143731268731,3.232045454545454,0.3824794887659517,76.49589775319033,101,2091.375,0,0,-0.011842105263157897,-0.021052631578947368,10.018332784375074,28.3925
phi_5,General phi=5,8,0,0,4,14.25,0.3356,0,1,1,0.08922878510378511,3.247247474747475,0.3691671583221852,73.83343166443704,101,2034.25,0,0,0.013157894736842105,0.023684210526315794,10.158389250223884,28.849999999999998
kappa_1,General kappa=1,8,0,0,4,14.625,0.3356625,0.0025,1,1,0.07933409645909645,3.256338383838384,0.37066538356295264,74.13307671259052,101,1993.375,0,0,0.006578947368421053,0.002631578947368423,9.991585448530968,28.185
kappa_3,General kappa=3,8,0,0,4,14.625,0.33891249999999995,0.00125,1,1,0.08054730685980686,3.2404545454545457,0.3755317053642693,75.10634107285384,101,2063.625,0,0,-0.01842105263157895,0.015789473684210527,9.75517879622874,27.3525
K_4,General K=4,8,0,0,4,14.375,0.33391874999999993,0.00125,1,1,0.09742064185814185,3.275681818181818,0.3810258457866261,76.20516915732523,101,2213,0,0,-0.027631578947368417,0.009210526315789473,9.78075708029723,26.965
K_64,General K=64,8,0,0,4,14.75,0.33861875,0.0025,1,1,0.07714993686868686,3.245681818181818,0.38345762094156843,76.69152418831369,101,2181.75,0,0,0.006578947368421052,-0.05,9.921332420443328,28.41
