tranche,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,meanCumulativeAccess,meanGravityAccess,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
bp1_planarity,planarity_free_none,Free geometry / none,0,0,7.666666666666667,17,0.267042404723564,0.19122033558308066,0.5387709134045291,2.1495457721872815,154,17.25925925925926,5.6735246324507775,0,180,0,0,0.20833333333333334,-0.08333333333333333,0,exponential
bp1_planarity,planarity_free_reject,Free geometry / reject,0,1,5.444444444444445,22,0.35626102292768946,0.7470846026401581,0.30963723885744837,2.515024458420685,94,28.037037037037038,9.330134912211015,0,0,0,0,0.20833333333333334,-0.020833333333333332,0.041666666666666664,exponential
bp1_planarity,planarity_free_split,Free geometry / split,0,0,4.042606305696577,9,0.01018843599354935,0.1617205604230279,0.009818540246113623,,4748,,,75634.5,186,4594,48,0.22916666666666669,0.04166666666666667,0.03125,exponential
bp1_planarity,planarity_mesh_reject,Mesh / reject,0,1,3.55,4,0.08693270735524261,0,0.0774596669241486,7.659803921568628,94,81.98333333333333,28.416902947131664,0,0,0,0,0.168141592920354,0.12389380530973451,-0.07079646017699115,lognormal
bp1_planarity,planarity_mesh_split,Mesh / split,0,1,3.4,4,0.11137390364051436,0,0.0774596669241486,8.440336134453782,85,72.075,25.840942703575976,0,0,0,0,0.19469026548672566,0.04424778761061947,0.0752212389380531,lognormal
bp2_access_semantics,access_network_arrival,Network access / arrival-only,0,1,3.466666666666667,4,0.10095814349699739,0,0.07745966692414859,8.01141456582633,89,76.94999999999999,27.124499824160495,0,0,0,0,0.19026548672566373,-0.01327433628318584,-0.14601769911504425,lognormal
bp2_access_semantics,access_seed_arrival,Seed access / arrival-only,0,1,3.3333333333333335,4,0.12220833333333325,0,0.07745966692414857,8.60952380952381,81,5.95,1.9226826718571293,0,0,0,0,0.21238938053097345,-0.07964601769911504,-0.21238938053097345,lognormal
bp2_access_semantics,access_opportunity_arrival,Opportunity access / arrival-only,0,1,3.3333333333333335,4,0.12220833333333325,0,0.07745966692414857,8.60952380952381,81,34.858333333333334,12.567015227736961,0,0,0,0,0.21238938053097345,-0.07964601769911504,-0.21238938053097345,lognormal
bp2_access_semantics,access_network_target,Network access / target-only,0,1,3.4000000000000004,4,0.11592788461538472,0,0.07745966692414857,8.112605042016806,85,76.48333333333333,26.7895472315276,0,0,0,0,0.19469026548672566,0.01327433628318584,0.061946902654867256,lognormal
bp2_access_semantics,access_seed_both,Seed access / both,0,1,3.2666666666666666,4,0.12722924266110824,0,0.07745966692414856,9.246848739495798,77,5.866666666666666,1.8863071583072137,0,0,0,0,0.21238938053097345,0.07964601769911506,-0.02654867256637168,lognormal
bp2_access_semantics,access_opportunity_both,Opportunity access / both,0,1,3.3333333333333335,4,0.12220833333333325,0,0.07745966692414857,8.60952380952381,81,34.858333333333334,12.567015227736961,0,0,0,0,0.21238938053097345,-0.07964601769911504,-0.21238938053097345,lognormal
bp3_interaction,interaction_reject_none,Reject / no access,0,1,5.433333333333334,8,0.14498977505112487,0.460555555555555,0.08877794031783526,5.405042016806723,207,104.33333333333333,34.834750761602926,0,0,0,0,0.21621621621621623,0.14414414414414414,0.3963963963963964,exponential
bp3_interaction,interaction_reject_arrival,Reject / arrival access,0,1,5.416666666666667,8,0.15743589743589737,0.4685119047619043,0.08851659797833686,5.36078431372549,206,8.916666666666666,3.253355482187124,0,0,0,0,0.21621621621621623,0.40540540540540543,0.15315315315315314,exponential
bp3_interaction,interaction_split_target,Split / target access,0,1,5.5650198479123825,8,0.16913975734424636,0.468697689989957,0.0653085381377115,6.454957133099008,365.5,185.13778755559807,63.40893055801288,88.5,84.5,84.5,80,0.21171171171171171,0.23423423423423423,0.23873873873873874,lognormal
bp3_interaction,interaction_split_both_seed,Split / both with seed access,0,1,5.6,8,0.16509730602532513,0.46516840882694593,0.065530348116729,6.418747010999522,370,8.95609756097561,3.4054678191051995,87,85,85,81,0.23423423423423423,0.25225225225225223,0.40540540540540543,exponential
bp3_interaction,interaction_split_both_opportunity,Split / both with opportunity access,0,1,5.6,8,0.16509730602532513,0.46516840882694593,0.065530348116729,6.418747010999522,370,92.68780487804878,31.843782105641687,87,85,85,81,0.23423423423423423,0.25225225225225223,0.40540540540540543,exponential
