scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate,targetMeanEdgeLength,targetAverageClustering,targetCyclomaticNumber,targetAveragePathLengthLargestComponent,meanEdgeLengthRelDiff,averageClusteringRelDiff,cyclomaticRelDiff,averagePathLengthRelDiff
phi_0,Phi 0,0.5307857944541104,0.0319913713346012,1001,,0,0.526,0.0075,,,0.00909846854393617,3.2655161779468265,,
phi_2,Phi 2,0.15505616999611957,0.07095328005328007,1001,,0,0.157,0.0721,,,0.012381082827263893,0.015904576237447007,,
kappa_1,Kappa 1,0.352390371107522,0.0003995518370518371,6,,0,,0.00035,6,8.19,,0.14157667729096307,0,
kappa_4,Kappa 4,0.35178878788945145,0.01470723651348651,2991,,0,,0.0151,2991,3.58,,0.02601082692142318,0,
