tranche,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,meanCumulativeAccess,meanGravityAccess,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
bp1_planarity,planarity_free_none,Free geometry / none,0,0,7.818181818181818,21,0.29457364341085257,0.12297893112228407,0.5370854248498976,2.412079983508555,289,23.67676767676768,8.390325425696478,0,357,0,0,0.21505376344086022,-0.03225806451612903,-0.053763440860215055,exponential
bp1_planarity,planarity_free_reject,Free geometry / reject,0,1,5.595959595959596,30,0.3737738394778105,0.7756972929178384,0.26593347681436796,2.8260152545866832,179,48.101010101010104,15.78795067863171,0,0,0,0,0.22580645161290322,-0.010752688172043012,-0.021505376344086023,exponential
bp1_planarity,planarity_free_split,Free geometry / split,0,0,4.021347836242974,8,0.00521086410117938,0.16966947290379836,0.004635310136026593,,17915,,,554388.75,368,17626,93,0.1881720430107527,0.0456989247311828,0.021505376344086023,exponential
bp1_planarity,planarity_mesh_reject,Mesh / reject,0,1,3.3636363636363638,4,0.1256511056511056,0,0.05720775535473529,11.705188875051888,151,137.4,46.22391683251176,0,0,0,0,0.17370892018779344,-0.056338028169014086,-0.11737089201877934,lognormal
bp1_planarity,planarity_mesh_split,Mesh / split,0,1,3.4886363636363638,4,0.10113740049738157,0,0.05720775535473529,11.28574097135741,164.75,143.1909090909091,47.965917426344554,0,0,0,0,0.18896713615023475,0.06103286384976526,0.001173708920187793,lognormal
bp2_access_semantics,access_network_arrival,Network access / arrival-only,0,1,3.4272727272727272,4,0.11242489267758399,0,0.05720775535473529,11.954234122042342,158,131.63181818181818,45.21005370434594,0,0,0,0,0.1924882629107981,0.015258215962441316,-0.06807511737089202,lognormal
bp2_access_semantics,access_seed_arrival,Seed access / arrival-only,0,1,3.227272727272727,4,0.14241997439180532,0,0.057207755354735296,12.923204649232046,136,6.177272727272728,1.8868676515360936,0,0,0,0,0.18779342723004694,-0.056338028169014086,-0.018779342723004695,lognormal
bp2_access_semantics,access_opportunity_arrival,Opportunity access / arrival-only,0,1,3.227272727272727,4,0.14241997439180532,0,0.057207755354735296,12.923204649232046,136,57.89545454545455,20.364941310548772,0,0,0,0,0.18779342723004694,-0.056338028169014086,-0.018779342723004695,lognormal
bp2_access_semantics,access_network_target,Network access / target-only,0,1,3.588636363636364,4,0.08391297430940242,0,0.05720775535473528,10.703725612287258,175.75,153.41363636363636,50.84185537870587,0,0,0,0,0.18309859154929578,-0.03169014084507042,-0.026995305164319253,lognormal
bp2_access_semantics,access_seed_both,Seed access / both,0,1,3.370454545454545,4,0.11961795035028738,0,0.05720775535473529,12.395610211706103,151.75,6.242045454545455,1.9358607645929724,0,0,0,0,0.19600938967136147,-0.026995305164319253,-0.023474178403755867,lognormal
bp2_access_semantics,access_opportunity_both,Opportunity access / both,0,1,3.227272727272727,4,0.14241997439180532,0,0.057207755354735296,12.923204649232046,136,57.89545454545455,20.364941310548772,0,0,0,0,0.18779342723004694,-0.056338028169014086,-0.018779342723004695,lognormal
bp3_interaction,interaction_reject_none,Reject / no access,0,1,5.545454545454546,8,0.1486140089418777,0.4519913419913422,0.06521008813672881,7.353590701535907,391,187.47272727272727,63.97750870484107,0,0,0,0,0.21800947867298578,0.33649289099526064,0.2985781990521327,exponential
bp3_interaction,interaction_reject_arrival,Reject / arrival access,0,1,5.5636363636363635,8,0.13968360071301245,0.4467424242424248,0.0653388140305187,7.263636363636364,393,8.959090909090909,3.270988915666966,0,0,0,0,0.21800947867298578,0.35545023696682465,0.1943127962085308,exponential
bp3_interaction,interaction_split_target,Split / target access,0,1,5.680218735850833,8,0.16945157545369643,0.4683049678542945,0.04747022049220109,8.897242181027543,723.25,352.2304199933554,121.56154733630301,177.75,172.5,172.5,167.75,0.20023696682464454,0.2109004739336493,0.2677725118483413,lognormal
bp3_interaction,interaction_split_both_seed,Split / both with seed access,0,1,5.683673469387755,8,0.1704878540285053,0.4703899416909622,0.04741254581262328,8.822876976877708,723,8.97704081632653,3.493675409335265,179,172,172,169,0.1990521327014218,0.15165876777251186,0.25118483412322273,lognormal
bp3_interaction,interaction_split_both_opportunity,Split / both with opportunity access,0,1,5.683673469387755,8,0.1704878540285053,0.4703899416909622,0.04741254581262328,8.822876976877708,723,177.2908163265306,60.99851171930289,179,172,172,169,0.1990521327014218,0.15165876777251186,0.25118483412322273,lognormal
