scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate
phi_0,Phi 0,0.5307857944541104,0.0319913713346012,1001,,0
phi_0_5,Phi 0.5,0.4525633428437006,0.006109151496651495,1001,,0
phi_1,Phi 1,0.35633466098310634,0.008694803576053574,1001,,0
phi_2,Phi 2,0.15505616999611957,0.07095328005328007,1001,,0
kappa_1,Kappa 1,0.352390371107522,0.0003995518370518371,6,,0
kappa_2,Kappa 2,0.3498347197701732,0.009405509999259999,1001,,0
kappa_4,Kappa 4,0.35178878788945145,0.01470723651348651,2991,,0
