scenarioId,scenarioLabel,maxDegree_observed,maxDegree_target,maxDegree_relDiff,degreeGini_observed,degreeGini_target,degreeGini_relDiff,clustering_observed,clustering_target,clustering_relDiff,meanEdgeLength_observed,meanEdgeLength_target,meanEdgeLength_relDiff,preferredTail_observed,preferredTail_target,preferredTail_match,earlyStopRate,largestComponentShare
ba_benchmark,BA benchmark,83.5625,82.31,0.015216863078605244,0.39060390625,0.388,0.006711098582474252,0.029623630823815923,0.028,0.05798681513628295,0.5273360812220573,0.521,0.012161384303372956,power_law,power_law,true,0,1
capacity_only,Capacity only,16,16,0,0.33500337500000016,0.335,0.000010074626866085623,0.006674461302586301,0.007,0.046505528201957004,0.521504607913524,0.521,0.0009685372620422734,exponential,exponential,true,0,1
spatial_only,Spatial only,86.25,85.5,0.008771929824561403,0.3914515000000001,0.389,0.0063020565552701965,0.03577272223064341,0.035,0.02207777801838296,0.34770696209004404,0.351,0.009381874387338868,power_law,power_law,true,0,1
general_model,General model,15.9375,16,0.00390625,0.33583103125000013,0.336,0.0005028831845234734,0.00967629818098568,0.009,0.07514424233174224,0.3540454626967059,0.349,0.014456913171077123,exponential,exponential,true,0,1
