scenarioId,maxDegree_observed,maxDegree_target,maxDegree_relDiff,degreeGini_observed,degreeGini_target,degreeGini_relDiff,shareAtCapacity_observed,shareAtCapacity_target,shareAtCapacity_relDiff,clustering_observed,clustering_target,clustering_relDiff,earlyStopRate
constant_capacity,16,16,0,0.33626275000000005,0.337,0.0021876854599405552,0.004812500000000001,0.0039,0.23397435897435923,0.009712663898601398,0.0096,0.011735822770979048,0
uniform_capacity,22.25,22.94,0.030078465562336586,0.3537920000000001,0.354,0.0005875706214685734,0.0021875,0.0019,0.15131578947368432,0.011662318454623103,0.0121,0.036172028543545204,0
lognormal_capacity,52.125,48.69,0.07054836722119537,0.38232956250000016,0.382,0.0008627290575920363,0.0021250000000000006,0.0019,0.11842105263157926,0.021202419175058964,0.0197,0.07626493274410992,0
