scenarioId,scenarioLabel,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate,targetMaxDegree,targetDegreeGini,targetAverageClustering,targetMeanEdgeLength,targetPreferredTail,maxDegreeRelDiff,degreeGiniRelDiff,averageClusteringRelDiff,meanEdgeLengthRelDiff,preferredTailMatch
ba_benchmark,BA benchmark,26,0.37878472222222226,0.09485434554552201,0.5141649092080025,exponential,0,82.31,0.388,0.028,0.521,power_law,0.6841210059531041,0.02375071592210761,2.3876551980543574,0.01311917618425626,false
capacity_only,Capacity only,14,0.339375,0.07265614015614015,0.5269675103162856,exponential,0,16,0.335,0.007,0.521,exponential,0.125,0.0130597014925372,9.379448593734306,0.011453954541815005,true
spatial_only,Spatial only,34,0.38861111111111124,0.15059337443129003,0.3674683926054068,exponential,0,85.5,0.389,0.035,0.351,power_law,0.6023391812865497,0.0009997143673233214,3.3026678408940007,0.04691849745130153,false
general_model,General model,14,0.3299305555555556,0.07959452584452584,0.36998044907297056,exponential,0,16,0.336,0.009,0.349,exponential,0.125,0.018063822751322633,7.8438362049473165,0.06011589992255183,true
