scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate,targetMeanEdgeLength,targetAverageClustering,targetCyclomaticNumber,targetAveragePathLengthLargestComponent,meanEdgeLengthRelDiff,averageClusteringRelDiff,cyclomaticRelDiff,averagePathLengthRelDiff
phi_0,Phi 0,0.5339436561260336,0.19041798319815564,121,3.0329131652661063,0,0.526,0.0075,,,0.015102007844170224,24.389064426420752,,
phi_2,Phi 2,0.23241148748351625,0.1529904354904355,121,3.5096638655462185,0,0.157,0.0721,,,0.4803279457548806,1.1219200484110334,,
kappa_1,Kappa 1,0.37781552246395994,0.005909090909090909,6,5.266666666666667,0,,0.00035,6,8.19,,15.883116883116884,0,0.3569393569393569
kappa_4,Kappa 4,0.35306346513967435,0.08470337532837523,351,2.569187675070028,0,,0.0151,2991,3.58,,4.609495054859286,0.8826479438314945,0.282349811432953
