scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitLinkCount_mean,splitEvents_mean,crossingCandidatesEncountered_mean,crossingCandidatesAdmitted_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
stress_free_split,Stress free / split crossings,2,0,0,4.077446136078368,8,0.017991053919813704,0,0.17782121299389475,,0.019140644028715625,51.431887627299105,,1287.5,2624.5,24,10701.5,90.5,0.0625,-0.0625,,
stress_mesh_split,Stress mesh / split crossings,2,0,1,5.008965517241379,8,0.17914819353443534,0,0.4639901477832513,3.6224699680235073,0.1214062571685807,16.375525240414984,0,19,57,18,19.5,19,0.08333333333333334,-0.15,16.673577604013403,47.71862068965517
stress_free_opportunity,Free geometry / strong opportunity access,2,0,0,4,16,0.406975,0.055,0.20744214119214122,2.966969696969697,0.40912609812897,81.825219625794,3155,0,0,0,0,172.5,-0.02631578947368421,0.005263157894736841,5.034064308396745,15.48
stress_mesh_opportunity,Mesh geometry / strong opportunity access,2,0,1,3.14,4,0.14611464968152865,0,0,7.7820202020202025,0.08485281374238557,13.321891757554535,0,0,0,0,0,0,-0.02105263157894737,-0.031578947368421054,10.385328414159716,28.655
