scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitLinkCount_mean,splitEvents_mean,crossingCandidatesEncountered_mean,crossingCandidatesAdmitted_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
planar_free_none,Free geometry / none,2,0,0,7.4,15,0.2439939939939939,0,0.298222471972472,1.8563218390804597,0.5611877268304968,62.291837678185146,1170.5,0,0,0,0,82.5,-0.0625,0.041666666666666664,3.935590273555216,12.366666666666667
planar_free_reject,Free geometry / reject crossings,2,0,1,4.933333333333334,17,0.35887750746905667,0,0.7155406684818448,2.2011494252873565,0.3791648561290295,28.104427809816098,11,0,0,0,0,0,0.08333333333333333,-0.0625,4.628060788223482,13.433333333333334
planar_free_split,Free geometry / split crossings,2,0,0,4.080242044298673,8,0.018606351245728625,0,0.16956846737200176,,0.019018440314763102,48.86210214799621,,1258.5,2561.5,24,10798.5,91.5,-0.10416666666666666,0.08333333333333333,,
planar_mesh_none,Mesh geometry / none,2,0,1,5.371428571428572,8,0.1876436921380743,0,0.5332312925170068,2.961344537815126,0.16780698242466086,15.769545442950509,17.5,0,0,0,0,17.5,0,0.13333333333333333,9.539674185207563,29.228571428571428
planar_mesh_reject,Mesh geometry / reject crossings,2,0,1,4.8,8,0.16717221828490447,0,0.49537414965986387,3.0403361344537814,0.16070539403352183,13.499696961967008,0,0,0,0,0,0,-0.03333333333333334,-0.05,9.67412272522713,29.02857142857143
planar_mesh_split,Mesh geometry / split crossings,2,0,1,4.958791208791208,8,0.17590371287554396,0,0.46172815279958146,3.6716993790523205,0.12053740560171605,16.136530291048867,0,19,57,17,19,19,0.016666666666666666,0.03333333333333333,16.39438387394839,47.24038461538461
