scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitEvents_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
ba_benchmark,BA benchmark,10,0,0,4,14.6,0.33392,0.002,0.07641120268620268,3.2787878787878797,0.3845298911844711,76.90597823689424,2063.4,0,0,-0.009473684210526313,0.028421052631578948,9.786039662422422,26.952000000000005
strict_phi_0,Strict baseline phi=0,10,0,0,4,14.4,0.33316,0.002,0.09672742257742258,3.2532525252525253,0.36749249961320185,73.49849992264035,2027.2,0,0,0.004210526315789473,-0.016842105263157894,10.54766665334564,30.344
strict_phi_5,Strict baseline phi=5,10,0,0,4,14.4,0.33575000000000005,0.003,0.09048809801309803,3.2658181818181817,0.37518470391581954,75.03694078316391,2047.8,0,0,0.009473684210526318,-0.00631578947368421,9.790064409137965,27.901999999999997
strict_K_4,Strict baseline K=4,10,0,0,4,14,0.33496500000000007,0.001,0.08706429403929403,3.2642020202020205,0.3761049634600644,75.2209926920129,2084.4,0,0,0.02105263157894737,-0.014736842105263154,9.936650925217915,28.252
strict_K_64,Strict baseline K=64,10,0,0,4,14,0.33690999999999993,0,0.08199039849039849,3.263070707070707,0.3852054726118238,77.04109452236477,2155.8,0,0,-0.03789473684210526,-0.028421052631578948,9.610858790192747,27.397999999999996
strict_kappa_1,Strict baseline kappa=1,10,0,0,4,14.9,0.3409349999999999,0.003,0.08657020757020759,3.255959595959596,0.37775770532061154,75.5515410641223,2053.3,0,0,0.007368421052631581,-0.00631578947368421,9.744550728339167,26.832
strict_kappa_3,Strict baseline kappa=3,10,0,0,4,14,0.3325100000000001,0,0.07722291597291596,3.270707070707071,0.3751556329555245,75.03112659110492,2075.8,0,0,-0.005263157894736841,0.005263157894736841,10.061074330071651,28.226000000000006
strict_alpha_0,Strict baseline alpha=0,10,0,0,4,15.1,0.33621999999999996,0.006,0.08897597125097123,3.237131313131313,0.3700902994806036,74.01805989612072,1980.5,0,0,-0.0010526315789473669,0.012631578947368424,10.224485195414408,29.226
strict_alpha_2,Strict baseline alpha=2,10,0,0,4,14.4,0.337105,0.003,0.08268298090798092,3.2380808080808086,0.3675099464825559,73.50198929651121,2049.5,0,0,0.017894736842105262,-0.0010526315789473669,10.58990531953449,30.590000000000003
