scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitEvents_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
access_free_none,Free geometry / no access weighting,5,0,0,4,13.8,0.33134,0,0.05935719835719837,3.2604040404040404,0.384369185652965,76.873837130593,2214.2,0,0,-0.04,0.016842105263157894,9.893318832634103,27.204
access_free_arrival,Free geometry / access-weighted arrivals,5,0,0,4,14.2,0.33083999999999997,0,0.07628608058608058,3.2604040404040404,0.38828107162754993,77.65621432550999,2162,0,0,-0.0063157894736842095,-0.008421052631578945,9.591026756836776,27.188
access_free_target,Free geometry / access-weighted targets,5,0,0,4,14.2,0.33347,0,0.08933883893883893,3.2960404040404043,0.36859492456903964,73.71898491380793,1902.4,0,0,-0.04631578947368421,0.010526315789473686,9.895016688728266,27.996000000000002
access_free_both,Free geometry / access-weighted both,5,0,0,4,15.6,0.33632,0.006,0.08205629925629927,3.2417373737373736,0.36327208448133347,72.65441689626668,2048.8,0,0,0.037894736842105266,0,10.816256424483507,31.459999999999997
access_mesh_none,Mesh geometry / no access weighting,5,0,0,4,14.2,0.33553,0.002,0.08751939171939171,3.2419393939393943,0.38092806101832444,76.18561220366487,2153.6,0,0,-0.016842105263157894,0.008421052631578947,9.489262791274914,26.107999999999997
access_mesh_arrival,Mesh geometry / access-weighted arrivals,5,0,0,4,14.6,0.33243,0,0.0800055833055833,3.265616161616162,0.3667455855762348,73.34911711524697,2063.8,0,0,-0.0021052631578947377,0.01684210526315789,10.69593073702574,30.351999999999997
access_mesh_target,Mesh geometry / access-weighted targets,5,0,0,4,15,0.33494999999999997,0.002,0.09031685536685538,3.2381818181818183,0.3946926190853811,78.93852381707623,2362.2,0,0,0.0021052631578947372,-0.0021052631578947372,9.183816764965261,24.839999999999996
access_mesh_both,Mesh geometry / access-weighted both,5,0,0,4,13.8,0.33364,0,0.07972850482850483,3.254747474747475,0.37601754271340126,75.20350854268025,2101.6,0,0,0.01894736842105263,-0.010526315789473684,9.65230833254466,26.736
