group,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,meanCumulativeAccess,meanGravityAccess,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
planarity_core,planarity_free_none,Free geometry / none,0,0,7.818181818181818,21,0.29457364341085257,0.12297893112228407,0.5370854248498976,2.412079983508555,289,23.67676767676768,8.390325425696478,0,357,0,0,0.21505376344086022,-0.03225806451612903,-0.053763440860215055,exponential
planarity_core,planarity_free_reject,Free geometry / reject,0,1,5.595959595959596,30,0.3737738394778105,0.7756972929178384,0.26593347681436796,2.8260152545866832,179,48.101010101010104,15.78795067863171,0,0,0,0,0.22580645161290322,-0.010752688172043012,-0.021505376344086023,exponential
planarity_core,planarity_free_split,Free geometry / split,0,0,4.021347836242974,8,0.00521086410117938,0.16966947290379836,0.004635310136026593,,17915,,,554388.75,368,17626,93,0.1881720430107527,0.0456989247311828,0.021505376344086023,exponential
access_interaction,interaction_reject_none,Reject / no access,0,1,5.545454545454546,8,0.1486140089418777,0.4519913419913422,0.06521008813672881,7.353590701535907,391,187.47272727272727,63.97750870484107,0,0,0,0,0.21800947867298578,0.33649289099526064,0.2985781990521327,exponential
access_interaction,interaction_split_target,Split / target access,0,1,5.680218735850833,8,0.16945157545369643,0.4683049678542945,0.04747022049220109,8.897242181027543,723.25,352.2304199933554,121.56154733630301,177.75,172.5,172.5,167.75,0.20023696682464454,0.2109004739336493,0.2677725118483413,lognormal
access_interaction,interaction_split_both_seed,Split / both with seed access,0,1,5.683673469387755,8,0.1704878540285053,0.4703899416909622,0.04741254581262328,8.822876976877708,723,8.97704081632653,3.493675409335265,179,172,172,169,0.1990521327014218,0.15165876777251186,0.25118483412322273,lognormal
access_interaction,interaction_split_both_opportunity,Split / both with opportunity access,0,1,5.683673469387755,8,0.1704878540285053,0.4703899416909622,0.04741254581262328,8.822876976877708,723,177.2908163265306,60.99851171930289,179,172,172,169,0.1990521327014218,0.15165876777251186,0.25118483412322273,lognormal
