scenarioId,scenarioLabel,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate,targetMaxDegree,targetDegreeGini,targetAverageClustering,targetMeanEdgeLength,targetPreferredTail,maxDegreeRelDiff,degreeGiniRelDiff,averageClusteringRelDiff,meanEdgeLengthRelDiff,preferredTailMatch
ba_benchmark,BA benchmark,56.833333333333336,0.39192199999999994,0.04737060451439495,0.5255088839179095,power_law,0,82.31,0.388,0.028,0.521,power_law,0.3095209168590289,0.01010824742268022,0.6918073040855338,0.008654287750306121,true
capacity_only,Capacity only,16,0.3374919999999999,0.010561932511932513,0.5353365988727382,exponential,0,16,0.335,0.007,0.521,exponential,0,0.0074388059701489045,0.5088475017046448,0.027517464247098257,true
spatial_only,Spatial only,66.66666666666667,0.3911173333333333,0.06563177616186515,0.35026761249008803,power_law,0,85.5,0.389,0.035,0.351,power_law,0.22027290448343073,0.005443016281062479,0.8751936046247184,0.0020865741023132394,true
general_model,General model,16,0.3330200000000001,0.017098013098013096,0.3564624587228853,exponential,0,16,0.336,0.009,0.349,exponential,0,0.008869047619047402,0.8997792331125664,0.021382403217436428,true
