scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate
phi_0,Phi 0,0.530042986896075,0.0579729215497817,501,3.66349498997996,0
phi_0_5,Phi 0.5,0.45395950604874535,0.014428044178044176,501,4.291214428857716,0
phi_1,Phi 1,0.3564624587228853,0.017098013098013096,501,4.34124248496994,0
phi_2,Phi 2,0.17282232113214385,0.08059911754911755,501,4.533128256513026,0
kappa_1,Kappa 1,0.35870936981302814,0.0010023310023310023,6,7.21246492985972,0
kappa_2,Kappa 2,0.35923198167212567,0.016738658563658564,501,4.316160320641282,0
kappa_4,Kappa 4,0.3516241211478359,0.026625124875124844,1491,3.2551603206412825,0
