scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate,targetMeanEdgeLength,targetAverageClustering,targetCyclomaticNumber,targetAveragePathLengthLargestComponent,meanEdgeLengthRelDiff,averageClusteringRelDiff,cyclomaticRelDiff,averagePathLengthRelDiff
phi_0,Phi 0,0.530042986896075,0.0579729215497817,501,3.66349498997996,0,0.526,0.0075,,,0.007686286874667229,6.729722873304227,,
phi_2,Phi 2,0.17282232113214385,0.08059911754911755,501,4.533128256513026,0,0.157,0.0721,,,0.1007791154913621,0.11787957765766377,,
kappa_1,Kappa 1,0.35870936981302814,0.0010023310023310023,6,7.21246492985972,0,,0.00035,6,8.19,,1.8638028638028636,0,0.1193571514212796
kappa_4,Kappa 4,0.3516241211478359,0.026625124875124844,1491,3.2551603206412825,0,,0.0151,2991,3.58,,0.7632533029884002,0.5015045135406219,0.09073734060299374
