scenarioId,scenarioLabel,maxDegree,degreeGini,shareAtCapacity,averageClustering,earlyStopRate,targetMaxDegree,targetDegreeGini,targetShareAtCapacity,targetAverageClustering,maxDegreeRelDiff,degreeGiniRelDiff,shareAtCapacityRelDiff,averageClusteringRelDiff
constant_capacity,Constant K = 16,16,0.3394093333333333,0.005333333333333333,0.017871993746993747,0,16,0.337,0.0039,0.0096,0,0.007149357072205529,0.36752136752136755,0.8616660153118488
uniform_capacity,"Uniform U[8,24]",21,0.356314,0,0.02931422536871453,0,22.94,0.354,0.0019,0.0121,0.08456843940714913,0.006536723163841916,1,1.4226632536127712
lognormal_capacity,Lognormal mean ≈ 16,45.833333333333336,0.3785673333333333,0.0030000000000000005,0.04084688760538146,0,48.69,0.382,0.0019,0.0197,0.05867050044499204,0.008986038394415431,0.5789473684210529,1.0734460713391605
