scenarioId,scenarioLabel,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate
ba_benchmark,BA benchmark,56.833333333333336,0.39192199999999994,0.04737060451439495,0.5255088839179095,power_law,0
capacity_only,Capacity only,16,0.3374919999999999,0.010561932511932513,0.5353365988727382,exponential,0
spatial_only,Spatial only,66.66666666666667,0.3911173333333333,0.06563177616186515,0.35026761249008803,power_law,0
general_model,General model,16,0.3330200000000001,0.017098013098013096,0.3564624587228853,exponential,0
