scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitLinkCount_mean,splitEvents_mean,crossingCandidatesEncountered_mean,crossingCandidatesAdmitted_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
ba_benchmark,BA benchmark,8,0,0,4,15.375,0.3378625000000002,0.00375,0.048657283688533684,3.7259296482412063,0.36197412960767483,144.78965184306992,7766,0,0,0,0,349,0.005128205128205128,0.01282051282051282,16.916892743293243,46.1375
strict_phi_0,Strict baseline phi=0,8,0,0,4,34.75,0.3844140625000001,0,0.08752835328167376,3.2952386934673368,0.5170330847549546,206.81323390198185,17676.625,0,0,0,0,376.75,0.00641025641025641,-0.014743589743589743,7.177375534178208,14.69875
strict_phi_5,Strict baseline phi=5,8,0,0,4,19.625,0.32947968750000006,0,0.4287874530494016,4.25891959798995,0.10930904654246247,43.723618616985,387.875,0,0,0,0,187.25,0.005769230769230769,-0.003205128205128205,39.71262195730356,123.46749999999999
strict_K_4,Strict baseline K=4 (binding ring seed),8,0,0,3.9600000000000004,4,0.009843750000000095,0.9706249999999998,0.08770833333333329,9.645069095477387,0.4300504456674169,170.2999764842971,11254.5,0,0,0,0,366.5,-0.010841836734693877,-0.012117346938775512,4.139150555698008,10.37875
strict_K_64,Strict baseline K=64 (binding ring seed control),8,0,0,3.9600000000000004,24.5,0.35830650252525265,0,0.06360437301774755,3.534736180904523,0.3595410383854216,142.37825120062695,7944.375,0,0,0,0,346.875,-0.001913265306122449,-0.006377551020408164,17.77395200380889,50.021249999999995
strict_kappa_1,Strict baseline kappa=1,8,0,0,2.02,29.875,0.4319399752475248,0,0.0009559155531942633,4.770094221105527,0.3597241488693377,72.66427807160622,1982.125,0,0,0,0,165.375,-0.0031887755102040817,0.0012755102040816323,6.239675901043496,15.427500000000002
strict_kappa_3,Strict baseline kappa=3,8,0,0,5.950000000000001,49.625,0.36344747899159674,0,0.12197564661939289,2.8473052763819093,0.3655603664827779,217.5084180572529,,0,0,0,0,537.625,-0.007051282051282052,-0.005769230769230769,28.808234353271253,96.95125000000002
strict_alpha_0,Strict baseline alpha=0,8,0,0,4,16.125,0.29893437500000014,0,0.030388593706560038,3.841394472361809,0.355764305216471,142.30572208658842,7656.75,0,0,0,0,346.25,0.0025641025641025637,0.007051282051282052,16.911881625781575,46.03125000000001
strict_alpha_2,Strict baseline alpha=2,8,0,0,4,64,0.45986250000000006,0.018125,0.4533628954922662,2.644993718592965,0.4214101112603441,168.56404450413766,9836.75,0,0,0,0,360.5,0.023076923076923078,0.0019230769230769232,18.914044699980288,58.01249999999999
