scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,crossingCount_mean,generatedIntersectionNodes_mean,splitLinkCount_mean,splitEvents_mean,crossingCandidatesEncountered_mean,crossingCandidatesAdmitted_mean,eastWestBias_mean,northSouthBias_mean,meanGravity_mean,meanCumulative_mean
mesh_90_network_edge,90 / edge-neighbor / near-network,6,0,1,3.3800000000000003,4,0.11519992451442644,0,0,7.18848484848485,0.08485281374238553,14.340125522463156,0,0,0,0,0,0,0.05263157894736842,0.003508771929824563,22.890206181285905,64.52333333333333
mesh_90_frontier_edge,90 / edge-neighbor / frontier,6,0,1,3.3966666666666665,4,0.11689746486480745,0,0,6.691616161616161,0.08485281374238553,14.410836200581812,0,0,0,0,0,0,0.012280701754385963,0.03333333333333333,24.305230075540404,70.25333333333333
mesh_90_network_ring,90 / edge-plus-corner / near-network,6,0,1,3.873333333333333,7.666666666666667,0.2465351582677594,0,0.36007936507936505,5.50952861952862,0.10127543946541584,19.61398195108946,12.833333333333334,0,0,0,0,12.833333333333334,-0.005263157894736844,-0.029824561403508778,23.55199566330242,74.5
mesh_60_network_edge,60 / edge-neighbor / near-network,6,0,1,3.6266666666666665,6,0.21050494280411305,0,0.3711666666666667,6.820505050505051,0.09118028227819132,16.534024519778697,0,0,0,0,0,0,0.03859649122807018,0.005263157894736842,21.591684464520014,68.15333333333332
mesh_60_frontier_edge,60 / edge-neighbor / frontier,6,0,1,3.766666666666666,6,0.18901218183055124,0,0.306,5.966835016835017,0.09118028227819135,17.172286495726038,0,0,0,0,0,0,0.06842105263157895,0.08596491228070176,25.114706685773672,79.83333333333333
mesh_60_network_ring,60 / expanded local ring / near-network,6,0,0.5,3.9466666666666668,9.833333333333334,0.28140876378973567,0,0.37978715728715734,4.792424242424242,0.11897783255034693,23.47741894341662,47.833333333333336,0,0,0,0,37.833333333333336,0.017543859649122803,0.03508771929824561,21.308190041458747,69.86333333333333
