scenarioId,scenarioLabel,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate,targetMaxDegree,targetDegreeGini,targetAverageClustering,targetMeanEdgeLength,targetPreferredTail,maxDegreeRelDiff,degreeGiniRelDiff,averageClusteringRelDiff,meanEdgeLengthRelDiff,preferredTailMatch
ba_benchmark,BA benchmark,33.5,0.38718750000000013,0.08364640067532694,0.517898086312906,exponential,0,82.31,0.388,0.028,0.521,power_law,0.5930020653626534,0.0020940721649481513,1.987371452690248,0.005953769073117091,false
capacity_only,Capacity only,15,0.3358875000000001,0.030620546120546117,0.5215613669298718,exponential,0,16,0.335,0.007,0.521,exponential,0.0625,0.0026492537313435715,3.374363731506588,0.0010774797118459553,true
spatial_only,Spatial only,37,0.3873062500000002,0.08965289438055903,0.35469733426700767,exponential,0,85.5,0.389,0.035,0.351,power_law,0.5672514619883041,0.004354113110539402,1.561511268015972,0.01053371586042077,false
general_model,General model,15,0.3266,0.03877131202131202,0.35914814084332414,exponential,0,16,0.336,0.009,0.349,exponential,0.0625,0.027976190476190533,3.3079235579235577,0.02907776745938155,true
