scenarioId,scenarioLabel,maxDegree,degreeGini,averageClustering,meanEdgeLength,preferredTail,earlyStopRate
ba_benchmark,BA benchmark,33.5,0.38718750000000013,0.08364640067532694,0.517898086312906,exponential,0
capacity_only,Capacity only,15,0.3358875000000001,0.030620546120546117,0.5215613669298718,exponential,0
spatial_only,Spatial only,37,0.3873062500000002,0.08965289438055903,0.35469733426700767,exponential,0
general_model,General model,15,0.3266,0.03877131202131202,0.35914814084332414,exponential,0
