scenarioId,scenarioLabel,meanEdgeLength,averageClustering,cyclomaticNumber,averagePathLengthLargestComponent,earlyStopRate
phi_0,Phi 0,0.531905945333184,0.09800262212986743,201,3.240577889447236,0
phi_0_5,Phi 0.5,0.4548724353445072,0.01944111444111444,201,3.6956281407035174,0
phi_1,Phi 1,0.35914814084332414,0.03877131202131202,201,3.75643216080402,0
phi_2,Phi 2,0.21145873444782448,0.1318552489177489,201,3.8680653266331655,0
kappa_1,Kappa 1,0.369343322187551,0.003015151515151515,6,5.9357286432160805,0
kappa_2,Kappa 2,0.3767969590867712,0.026132756132756126,201,3.74143216080402,0
kappa_4,Kappa 4,0.3518203410854659,0.05835302891552884,591,2.8171608040201006,0
