scenarioId,scenarioLabel,maxDegree,degreeGini,shareAtCapacity,averageClustering,earlyStopRate,targetMaxDegree,targetDegreeGini,targetShareAtCapacity,targetAverageClustering,maxDegreeRelDiff,degreeGiniRelDiff,shareAtCapacityRelDiff,averageClusteringRelDiff
constant_capacity,Constant K = 16,16,0.34486111111111106,0.008333333333333333,0.08979885854885854,0,16,0.337,0.0039,0.0096,0,0.02332673920210991,1.1367521367521367,8.354047765506099
uniform_capacity,"Uniform U[8,24]",18,0.34496527777777786,0,0.0907098946804829,0,22.94,0.354,0.0019,0.0121,0.21534437663469927,0.02552181418706815,1,6.496685510783712
lognormal_capacity,Lognormal mean ≈ 16,29,0.3619097222222223,0,0.1255008405312665,0,48.69,0.382,0.0019,0.0197,0.40439515300883133,0.0525923502036066,1,5.37060104219627
